date,0_days_out,10_days_out,11_days_out,12_days_out,13_days_out,14_days_out,15_days_out,1_days_out,2_days_out,3_days_out,4_days_out,5_days_out,6_days_out,7_days_out,8_days_out,9_days_out,actual
2025-07-10,,,,,,,,,,,,,,,,,True
2025-07-11,7.0,,,,,,,,,,,,,,,,False
2025-07-12,1.0,,,,,,,5.0,,,,,,,,,False
2025-07-13,2.0,,,,,,,2.0,3.0,,,,,,,,False
2025-07-14,17.0,,,,,,,21.0,21.0,24.0,,,,,,,True
2025-07-15,27.0,,,,,,,13.0,14.0,8.0,7.0,,,,,,True
2025-07-16,6.0,,,,,,,9.0,8.0,5.0,6.0,7.0,,,,,False
2025-07-17,22.0,,,,,,,29.0,30.0,20.0,20.0,13.0,21.0,,,,
2025-07-18,0.0,,,,,,,0.0,6.0,13.0,27.0,22.0,25.0,27.0,,,
2025-07-19,,,,,,,,16.0,16.0,11.0,5.0,13.0,15.0,17.0,19.0,,
2025-07-20,,,,,,,,,39.0,39.0,32.0,25.0,17.0,14.0,15.0,13.0,
2025-07-21,,15.0,,,,,,,,2.0,2.0,14.0,25.0,17.0,15.0,13.0,
2025-07-22,,12.0,17.0,,,,,,,,9.0,9.0,12.0,7.0,13.0,12.0,
2025-07-23,,10.0,25.0,24.0,,,,,,,,14.0,14.0,13.0,10.0,11.0,
2025-07-24,,13.0,29.0,29.0,29.0,,,,,,,,16.0,16.0,11.0,13.0,
2025-07-25,,13.0,42.0,21.0,39.0,32.0,,,,,,,,18.0,18.0,11.0,
2025-07-26,,15.0,32.0,31.0,26.0,32.0,37.0,,,,,,,,18.0,18.0,
2025-07-27,,10.0,23.0,23.0,21.0,27.0,29.0,,,,,,,,,10.0,
2025-07-28,,29.0,29.0,14.0,15.0,29.0,32.0,,,,,,,,,,
2025-07-29,,,29.0,29.0,16.0,22.0,35.0,,,,,,,,,,
2025-07-30,,,,21.0,21.0,20.0,36.0,,,,,,,,,,
2025-07-31,,,,,34.0,34.0,30.0,,,,,,,,,,
2025-08-01,,,,,,35.0,35.0,,,,,,,,,,
