date,actual,0_days_out,1_days_out,2_days_out,3_days_out,4_days_out,5_days_out,6_days_out,7_days_out,8_days_out,9_days_out,10_days_out,11_days_out,12_days_out,13_days_out,14_days_out,15_days_out
2025-07-10,True,,,,,,,,,,,,,,,,
2025-07-11,,7.0,,,,,,,,,,,,,,,
2025-07-12,,,5.0,,,,,,,,,,,,,,
2025-07-13,,,,3.0,,,,,,,,,,,,,
2025-07-14,,,,,24.0,,,,,,,,,,,,
2025-07-15,,,,,,7.0,,,,,,,,,,,
2025-07-16,,,,,,,7.0,,,,,,,,,,
2025-07-17,,,,,,,,21.0,,,,,,,,,
2025-07-18,,,,,,,,,27.0,,,,,,,,
2025-07-19,,,,,,,,,,19.0,,,,,,,
2025-07-20,,,,,,,,,,,13.0,,,,,,
2025-07-21,,,,,,,,,,,,15.0,,,,,
2025-07-22,,,,,,,,,,,,,17.0,,,,
2025-07-23,,,,,,,,,,,,,,24.0,,,
2025-07-24,,,,,,,,,,,,,,,29.0,,
2025-07-25,,,,,,,,,,,,,,,,32.0,
2025-07-26,,,,,,,,,,,,,,,,,37.0
