date,actual,0_days_out,1_days_out,2_days_out,3_days_out,4_days_out,5_days_out,6_days_out,7_days_out,8_days_out,9_days_out,10_days_out,11_days_out,12_days_out,13_days_out,14_days_out,15_days_out
2025-07-14,False,,,,,,,,,,,,,,,,
2025-07-15,False,,,,,,,,,,,,,,,,
2025-07-16,False,,,,,,,,,,,,,,,,
2025-07-17,,0.0,,,,,,,,,,,,,,,
2025-07-18,,3.0,3.0,,,,,,,,,,,,,,
2025-07-19,,,3.0,3.0,,,,,,,,,,,,,
2025-07-20,,,,3.0,3.0,,,,,,,,,,,,
2025-07-21,,,,,8.0,8.0,,,,,,,,,,,
2025-07-22,,,,,,6.0,6.0,,,,,,,,,,
2025-07-23,,,,,,,2.0,2.0,,,,,,,,,
2025-07-24,,,,,,,,1.0,1.0,,,,,,,,
2025-07-25,,,,,,,,,1.0,1.0,,,,,,,
2025-07-26,,,,,,,,,,2.0,2.0,,,,,,
2025-07-27,,,,,,,,,,,2.0,2.0,,,,,
2025-07-28,,,,,,,,,,,,3.0,3.0,,,,
2025-07-29,,,,,,,,,,,,,0.0,0.0,,,
2025-07-30,,,,,,,,,,,,,,0.0,0.0,,
2025-07-31,,,,,,,,,,,,,,,0.0,0.0,
2025-08-01,,,,,,,,,,,,,,,,3.0,3.0
